epoch;acc;false_negatives;false_positives;kl;loss;precision;recall;true_negatives;true_positives;val_acc;val_false_negatives;val_false_positives;val_kl;val_loss;val_precision;val_recall;val_true_negatives;val_true_positives
0;0.49574736;5824.0;6152.0;0.41646305;10.90435357344778;0.495903;0.5095992;5722.0;6052.0;0.5224;270.0;327.0;0.343391;10.642456178283691;0.5198238;0.5673077;299.0;354.0
1;0.5183158;5750.0;5690.0;0.34852;10.498518568902266;0.51844954;0.5158302;6184.0;6126.0;0.4904;263.0;374.0;0.32942408;10.35621288909912;0.49115646;0.57852566;252.0;361.0
2;0.5183158;5494.0;5946.0;0.34554672;10.186269309194465;0.5176833;0.5373863;5928.0;6382.0;0.5352;255.0;326.0;0.33717474;10.022524258422852;0.5309352;0.59134614;300.0;369.0
3;0.5489263;5434.0;5279.0;0.34338564;9.849200894887824;0.5496118;0.5424385;6595.0;6442.0;0.5936;357.0;151.0;0.3684047;9.647870637512208;0.638756;0.4278846;475.0;267.0
4;0.6512421;4524.0;3759.0;0.32520095;9.446433178871557;0.6616866;0.6190637;8115.0;7352.0;0.7176;181.0;172.0;0.2837914;9.210808041381837;0.72032523;0.7099359;454.0;443.0
5;0.73637897;3129.0;3132.0;0.28106433;9.011441321443257;0.7363414;0.73652744;8742.0;8747.0;0.7672;191.0;100.0;0.31249624;8.806551812744141;0.81238276;0.69391024;526.0;433.0
6;0.7718737;2663.0;2755.0;0.2527434;8.601247978692305;0.7698028;0.77576625;9119.0;9213.0;0.7616;183.0;115.0;0.29618275;8.42257293548584;0.79316545;0.7067308;511.0;441.0
7;0.78534734;2441.0;2657.0;0.2394811;8.218730962974147;0.78026795;0.7944594;9217.0;9435.0;0.7832;95.0;176.0;0.20628549;8.046657369995117;0.7503546;0.8477564;450.0;529.0
8;0.7944421;2260.0;2622.0;0.22912373;7.842996715545654;0.7857493;0.80970025;9252.0;9616.0;0.7976;89.0;164.0;0.19991277;7.661003728485108;0.76537913;0.8573718;462.0;535.0
9;0.8026105;2157.0;2531.0;0.2247352;7.470869152751722;0.7933878;0.8183732;9343.0;9719.0;0.7904;151.0;111.0;0.27741325;7.306862837219239;0.8099315;0.75801283;515.0;473.0
10;0.8060632;2092.0;2514.0;0.21918495;7.094777412896407;0.7955765;0.8238464;9360.0;9784.0;0.816;126.0;104.0;0.25751996;6.920905341339111;0.82724255;0.7980769;522.0;498.0
11;0.8126737;2002.0;2447.0;0.21258762;6.71988995232833;0.801396;0.8314247;9427.0;9874.0;0.804;143.0;102.0;0.268198;6.563857843780518;0.8250429;0.7708333;524.0;481.0
12;0.81376845;1971.0;2452.0;0.21306908;6.358620522870516;0.80156994;0.83403504;9422.0;9905.0;0.7992;143.0;108.0;0.27198842;6.215473218536377;0.81663835;0.7708333;518.0;481.0
13;0.82063156;1841.0;2419.0;0.20200375;5.987945026076467;0.8057652;0.8449815;9455.0;10035.0;0.8008;145.0;104.0;0.28256905;5.857613908386231;0.82161236;0.7676282;522.0;479.0
14;0.8240421;1856.0;2323.0;0.20149215;5.63815737786544;0.8117962;0.8437184;9551.0;10020.0;0.8192;126.0;100.0;0.25401577;5.489951794433594;0.8327759;0.7980769;526.0;498.0
15;0.8199158;1908.0;2369.0;0.20051336;5.299556915162739;0.807976;0.83933985;9505.0;9968.0;0.7968;197.0;57.0;0.37959957;5.21859737625122;0.8822314;0.6842949;569.0;427.0
16;0.8264;1868.0;2255.0;0.19947243;4.963251951157419;0.81611353;0.842708;9619.0;10008.0;0.8152;89.0;142.0;0.19356465;4.84050147857666;0.79025114;0.8573718;484.0;535.0
17;0.8240421;1876.0;2303.0;0.19809031;4.648938151991994;0.8128099;0.84203434;9571.0;10000.0;0.82;108.0;117.0;0.22984895;4.516603411102295;0.8151659;0.8269231;509.0;516.0
18;0.8256421;1831.0;2310.0;0.19967258;4.349556520923815;0.81303114;0.8458235;9564.0;10045.0;0.8112;95.0;141.0;0.20891955;4.233891693115234;0.7895522;0.8477564;485.0;529.0
19;0.8314526;1800.0;2203.0;0.19467999;4.051769169817473;0.820588;0.8484338;9671.0;10076.0;0.8192;101.0;125.0;0.21927446;3.9616586894989014;0.80709875;0.838141;501.0;523.0
